romanian,french,italian,spanish,portuguese,ancestor

a,al,avere,alde
ind͡ʒestie,inʒɛstjɔ̃,ind͡ʒestione,inxestjon
inɡinal,iŋɥinal,inɡuinale,inɡinal
inɡredient,ɛ̃ɡredj,inɡrediente,inɡɾedjente
inhala,inale,inalare,inalaɾ
inhalat͡sie,inalatjɔ̃,inalasione,inalasion
inhalat͡siune,inalatjɔ̃,inalasione,inalasion
inhiba,inibe,inibire,inʝbiɾ
inhibit͡sie,inibitjɔ̃,inibisione,inʝbision
inimə,anime,anima,alma
init͡sia,initje,inisiare,inisiaɾ
init͡sial,kɔmɛnse,komint͡ʃare,inisial
init͡siator,initjatœr,inisiatore,inisiadoɾ
inʒustit͡sie,inʒystjz,ind͡ʒustisia,inxustisia
inot͡ʃent,inɔz,inːot͡ʃente,inosente
inot͡ʃent͡sə,inɔzɛn,inːot͡ʃensa,inosensia
inokula,inɔkyle,inokulare,inokulaɾ
inodor,inɔdɔr,inodore,inodoɾo
inova,inɔve,inːovare,innobaɾ
insat͡siabil,insatjabl,insasiabile,insasiable
inskript͡sie,ɛ̃skriptjɔ̃,iʃrisione,inskɾipsion
insektə,insɛkt,insetːo,insekto
insensibil,insɛnsibl,insensibile,insensible
insidios,insidjœ,insidioso,insidjoso
insipid,insipi,insipido,insipido
insista,insiste,insistere,insistiɾ
insolent,insɔl,insolente,insolente
insolent͡sə,insɔlɛn,insolensa,insolensia
insolubil,insɔlybl,insolubile,insoluble
insomnie,insɔ̃nj,insonːia,insomnjo
inspekt͡sie,ɛ̃spɛktjɔ̃,ispesione,inspeksion
inspektoare,ɛ̃spɛtyr,ispetːore,inspektoɾ
inspira,ɛ̃spire,ispirare,inspiɾaɾ
inspirat͡sie,ɛ̃spiratjɔ̃,ispirasione,inspiɾasion
instiɡa,ɛ̃stjɡɥe,istiɡare,instiɡaɾ
instiɡator,ɛ̃stjɡatœr,istiɡatore,instiɡadoɾ
instinkt,ɛ̃stɛ̃kt,istinto,instinto
institut,ɛ̃stjty,istituto,instituto
institut͡sie,ɛ̃stjtytjɔ̃,istitusione,institusion
institut͡siune,ɛ̃stjtytjɔ̃,istitusione,institusion
instruktor,ɛ̃strytyr,istrutːore,instɾuktoɾ
instrument,ɛ̃strym,strumento,instɾumento
insufit͡ʃient,insyfizan,insufːit͡ʃente,insufisiente
insufit͡ʃient͡sə,insyfizan,insufːit͡ʃensa,insufisiensia
insuflat͡sie,insyflatjɔ̃,insufːlasione,insuflasion
insultə,insylt,insultare,insultaɾ
insurekt͡sie,insyrrɛktjɔ̃,insurːesione,insureksion
intakt,intakt,intatːo,intakto
inteɡral,intɛɡral,inteɡrale,inteɡɾal
inteɡritate,inteɡrite,inteɡrita,inteɡɾidad
intelektual,intɛlɛktɥɛl,intelːetːuale,intelektwal
intens,intɛn,intenso,intenso
inter,inte,inter,entɾe
intert͡ʃede,intɛrsede,intert͡ʃedere,inteɾsedeɾ
intert͡ʃesiune,intɛrsɛsjɔ̃,intert͡ʃesːione,inteɾsesjon
interdikt͡siune,intɛrdiktjɔ̃,interdisione,inteɾdiksion
interes,intɛrɛ,interesːe,inteɾes
interior,interjœr,interiore,inteɾjoɾ
interʒekt͡sie,intɛrʒɛktjɔ̃,interiesione,inteɾxeksion
intermitent,intɛrmi,intermitːente,inteɾmitente
intern,intɛrn,interno,inteɾno
interoɡa,intɛrrɔʒe,interːoɡare,interoɡaɾ
interpela,intɛrpɛle,interpelːare,inteɾpelaɾ
interpola,intɛrpɔle,interpolare,inteɾpolaɾ
interpolat͡sie,intɛrpɔlatjɔ̃,interpolasione,inteɾpolasion
interpolator,intɛrpɔlatœr,interpolatore,inteɾpoladoɾ
interpozit͡sie,intɛrpɔzitjɔ̃,interposisione,inteɾposision
interpret,intɛrprɛ,interprete,inteɾpɾete
interpreta,intɛrprete,interpretare,inteɾpɾetaɾ
interpune,intɛrpɔze,interporːe,inteɾponeɾ
interreɡn,intɛrrɛɲ,interːeɲo,intereɡno
intersekt͡sie,intɛrsɛktjɔ̃,intersesione,inteɾseksion
interstit͡siu,intɛrstjz,interstisio,inteɾstisio
interval,intɛrval,intervalːo,inteɾbalo
interveni,intɛrvɛnir,intervenire,inteɾbeniɾ
intestin,intɛstɛ̃,intestino,intestino
intim,intjm,intimo,intimo
intimə,intjma,intimo,intimo
ɨntind͡ʒe,tɛ̃dr,tind͡ʒere,teɲiɾ
ɨntins,tɛ̃dr,tind͡ʒere,teɲiɾ
intolerabil,intɔlerabl,intolːerabile,intoleɾable
intolerant͡sə,intɔleran,intolːeransa,intoleɾansia
intranzitiv,ɛ̃transitjf,intransitivo,intɾansitibo
intrepid,ɛ̃trepi,intrepido,intɾepido
intriɡə,ɛ̃triɡɥ,intriɡare,intɾiɡa
intrinsek,ɛ̃trinsɛk,intrinseko,intɾinseko
introdut͡ʃe,ɛ̃trɔdɥir,introdurːe,intɾodusiɾ
intuit͡sie,intɥitjɔ̃,intuisione,intwision
inutil,inytjl,inutile,inutil
invada,ɛnvair,invadere,inbadiɾ
ɨnvət͡sa,ɛnvwasje,invet͡sare,anbiso
invazie,invasjɔ̃,invasione,inbasjon
invektivə,invɛktjv,invetːivo,inbektiba
inventar,invɛntɛr,inventario,inbentaɾjo
invent͡sie,invâtjɔ̃,invensione,inbension
inversiune,invɛrsjɔ̃,inversione,inbeɾsjon
inverti,invɛrtjr,invertire,inbeɾtiɾ
investiɡator,invɛstjɡatœr,investiɡatore,inbestiɡadoɾ
invint͡ʃibil,invinsibil,invint͡ʃibile,inbensible
inviolabil,ɛ̃vjɔlabl,inviolabile,inbjolable
invizibil,invizibl,invisibile,inbisible
invizibilitate,invizibilite,invisibilita,inbisibilidad
invoka,invɔke,invokare,inbokaɾ
invokat͡sie,invɔkatjɔ̃,invokasione,inbokasion
involukru,invɔlykr,involukro,inbolukɾo
involuntar,invɔlɔntɛr,involontario,inboluntaɾjo
involut͡sie,invɔlytjɔ̃,involusione,inbolusion
invulnerabil,invylnerabl,invulnerabile,inbulneɾable
ipokrit,ipɔkrisj,ipokrita,ʝpokɾita
ipotenuzə,ipɔtenyz,ipotenusa,ʝpotenusa
iradiat͡sie,irradjatjɔ̃,irːadiasione,iradjasion
irat͡sional,irratjɔnɛl,irːasionale,irasional
irekuzabil,irrekyzabl,irːekusabile,irekusable
irelid͡ʒios,irreliɡjœ,irːelid͡ʒoso,irelixioso
ireverent͡sə,irreverɛn,irːiverensa,irebeɾensia
iritabil,irritabl,irːitabile,iritable
iritabilitate,irritabilite,irːitabilita,iritabilidad
iritat͡sie,irritatjɔ̃,irːitasione,iritasion
iritat͡siune,irritatjɔ̃,irːitasione,iritasion
ironik,irɔnik,ironiko,iɾoniko
ironie,irɔnj,ironia,iɾonja
irupt͡sie,irryptjɔ̃,irːusione,irupsion
irupt͡siune,irryptjɔ̃,irːusione,irupsion
istm,istm,istmo,istmo
istoria,istwar,istoria,ʝstoɾja
istorik,istɔrik,istoriko,ʝstoɾiko
it͡sə,liz,lit͡ʃːo,liso
iterativ,iteratjf,iterativo,iteɾatibo
iulie,ʒyjlɛ,luʎo,xuljo
iunie,ʒɥɛ̃,d͡ʒuɲo,xunjo
ʒoakə,ʒwe,balːare,xuɡaɾ
ʒokuri,ʒœ,d͡ʒuoko,xweɡo
ʒude,ʒyʒ,d͡ʒudit͡ʃe,xwes
ʒudeka,ʒyʒ,d͡ʒudikare,xwes
ʒuɡ,ʒu,d͡ʒoɡo,iuɡo
ʒumətate,mwatje,metá,metad
ʒune,ʒœn,d͡ʒovine,xoben
ʒura,otur,d͡ʒiro,xuɾaɾ
ʒurare,inʒyrje,d͡ʒurare,xuɾo
ʒurisdikt͡sie,ʒyridiktjɔ̃,d͡ʒurizdisione,xuɾisdiksion
ʒustifika,ʒystjfje,d͡ʒustifikare,xustifikaɾ
ʒustit͡sia,ʒystjz,d͡ʒustisiare,xustisia
ʒuvenil,ʒyvenil,d͡ʒovanile,xubenil
la,lavabl,la,aʝa
labil,labil,labile,labil
labirint,labirint,labirinto,labeɾinto
laborios,labɔrjœ,laborioso,laboɾjoso
lak,lak,laɡo,laɡo
lat͡ʃerat͡sie,lazeratjɔ̃,lat͡ʃerasione,laseɾasion
laktest͡ʃent,laktɛz,latːest͡ʃente,laktessente
ləkustə,laust,lokusta,lanɡosta
laɡunə,laɡn,laɡuna,laɡwna
lai,lɛ,la,aʝa
lamə,lama,lama,ʝama
lamentat͡sie,lamɛntatjɔ̃,lamentasione,lamentasion
lamentat͡siune,lamɛntatjɔ̃,lamentasione,lamentasion
laminə,lamine,lamina,lamina
lɨnə,lɛn,lana,lana
lant͡ʃe,lan,lant͡ʃa,lansa
lapte,lɛ,latːe,let͡ʃe
ləptukə,lɛtɥ,latːuɡa,let͡ʃuɡa
larvə,larv,larva,laɾba
ləsa,lɛse,last͡ʃare,dexaɾ
last͡ʃiv,lazif,last͡ʃivo,lassibo
latent,la,latente,latente
lateral,lateral,laterale,lateɾal
latinitate,latjnite,latinita,latinidad
latrinə,latrin,latrina,letɾina
lature,lə,lato,lado
ləturi,lavyr,lato,lado
laud,lwe,lodare,loaɾ
lekt͡sie,lɛktyr,lesione,leksion
lekturə,lɛktyr,letːura,lektuɾa
leɡ,lɛ,leɡatura,liɡaduɾa
leɡatar,leɡatɛr,leɡatario,leɡataɾjo
leɡat͡sie,leɡatjɔ̃,leɡasione,leɡasion
led͡ʒendə,leʒɛn,led͡ʒːenda,leienda
led͡ʒionar,leɡjɔnɛr,led͡ʒonario,lexionaɾjo
led͡ʒislat͡sie,leʒislatjɔ̃,led͡ʒizlasione,lexislasion
led͡ʒislator,leʒislatœr,led͡ʒizlatore,lexisladoɾ
led͡ʒitim,leʒitjm,led͡ʒitːimo,lexitimo
led͡ʒiune,leɡjɔ̃,led͡ʒone,lexion
leɡumə,lœ̃,leɡume,leɡwmbɾe
leu,ljɔ̃,leone,leon
lentikular,lɛntjkylɛr,lentikolare,lentikulaɾ
leʃie,lɛsiv,list͡ʃiva,lexja
letal,letal,letale,letal
letard͡ʒik,letarʒik,letard͡ʒiko,letaɾxiko
letard͡ʒie,letarɡj,letard͡ʒa,letaɾɡo
leziune,lesjɔ̃,lesione,lesjon
libat͡sie,libatjɔ̃,libad͡ʒone,libasion
libat͡siune,libatjɔ̃,libad͡ʒone,libasion
liberal,liberal,liberale,libeɾal
libertate,libɛrte,liberta,libeɾtad
libertin,libɛrtɛ̃,libertino,libeɾtino
libido,libidɔ,libido,libido
lit͡ʃent͡sə,lizɛn,lit͡ʃensa,lisensia
lit͡ʃent͡sios,likâkjœ,lit͡ʃensioso,lisensioso
liken,liʃâ,liken,liken
likid,liʃida,likuido,likido
likior,likœr,likuore,likoɾ
liɡaturə,liɡatyr,leɡatura,liɡaduɾa
liɡni,liɲi,liɲite,liɡnito
liɡnit,liɲi,liɲite,liɡnito
limbə,laŋɥ,limbaj,lenɡwa
limbrik,lɔ̃brik,lambriko,lombɾis
limitə,limi,limite,limitaɾ
lindinə,lɛn,lendine,ljendɾe
lindine,lɛn,lendine,ljendɾe
lirə,lirik,lira,libɾa
litanie,litanj,litania,letanja
literal,literal,letːerale,liteɾal
literar,literɛr,letːerario,liteɾaɾjo
literaturə,literatyr,letːeratura,liteɾatuɾa
litid͡ʒios,litjɡjœ,litid͡ʒoso,litixioso
livid,livi,livido,libido
livrea,livre,livrea,libɾea
lok,ljœ,luoɡo,lweɡo
lokul,ljœ,luoɡo,lweɡo
lond͡ʒevitate,lɔnʒevite,lond͡ʒevita,lonxebidad
lot͡siune,lɔtjɔ̃,losione,losion
lut͡ʃi,lɥir,lut͡ʃːola,lusiɾ
lukrativ,lykratjf,lukrativo,lukɾatibo
luɡubru,lyɡbr,luɡubre,luɡwbɾe
lumen,lymâ,lumen,lumen
lunə,lyn,luna,luna
lunatik,lynatjk,lunatiko,lunatiko
lunɡ,lɔŋ,lunɡo,lwenɡo
lup,lu,lupo,lobo
luptə,ly,lotːa,lut͡ʃa
lustrat͡sie,lystratjɔ̃,lustrasione,lustɾasion
mat͡ʃera,mazere,mat͡ʃerare,maseɾaɾ
mat͡ʃerat͡sie,mazeratjɔ̃,mat͡ʃerasione,maseɾasion
mat͡ʃerat͡siune,mazeratjɔ̃,mat͡ʃerasione,maseɾasion
mət͡ʃiukə,mas,mat͡ʃulːa,mat͡ʃuka
makru,mɛɡr,makro,muɡɾo
məduvə,məɔl,midolːa,meoʝo
mad͡ʒie,maɡj,mad͡ʒa,maxia
mad͡ʒisteriu,maʒistɛr,mad͡ʒistero,maxisteɾjo
mad͡ʒistral,maʒistral,mad͡ʒistrale,maxistɾal
mad͡ʒistrat,maʒistra,mad͡ʒistrato,maxistɾado
maɡnetik,maɲetjk,maɲetiko,maɡnetiko
maɡnifik,maɲifik,maɲifiko,maɡnifiko
maɡnifit͡ʃent͡sə,maɲifizɛn,maɲifit͡ʃensa,maɡnifisensia
mai,mɛ,mad͡ʒːo,das
maiestate,maʒɛste,maesta,maxestad
maʒor,maʒœr,mad͡ʒːore,maioɾ
malar,malɛr,malare,malaɾ
maleabil,maleabl,malːeabile,maleable
malefik,malefik,malefiko,malefiko
maleolə,maleɔl,malːeolo,maleolo
maliɡnitate,maliɲite,maliɲita,maliɡnidad
malit͡sie,maliz,malisia,malisia
mamə,mamâ,mamːa,mama
mandat,manda,mandato,mandato
mandibulə,mandibyl,mandibola,mandibula
manevrə,manoeyvr,manovra,manjobɾa
manivelə,manivɛl,manovelːa,manibela
manta,man,mantelːo,mantiʝa
mantisə,mantjs,mantisːa,mantisa
manual,manɥɛl,manuale,manwal
mənuki,manɔj,manokːio,manoxo
mard͡ʒine,marʒinal,márd͡ʒine,maɾxen
mərinimie,maɲanimite,maɲanimita,maɡnanimidad
mərinimos,maɲanim,maɲanimo,maɡnanimo
marino,marɛ̃,marina,maɾino
maritim,maritjm,maritːimo,maɾitimo
marmeladə,marmɛla,marmelːata,meɾ
marmurə,marbr,marmo,maɾmol
mart͡sial,martjal,marsiale,maɾsial
martir,martjr,mártire,maɾtiɾ
martiriu,martjr,martirio,maɾtiɾjo
mərunt,məny,minutaʎa,menudo
maʃinat͡sie,maʃinatjɔ̃,makːinasione,makinasion
mastikat͡siune,mastjkatjɔ̃,mastikasione,mastikasion
matematik,matematjk,matematika,matematiko
material,materjɛl,materiale,mateɾjal
materie,imaterjɛl,materia,madeɾa
matri,matri,matrit͡ʃe,matɾis
matrit͡ʃe,matriz,matrit͡ʃe,matɾis
mətrit͡ʃe,matriz,matrit͡ʃe,matɾis
matrimonial,ma-trimɔnjal,matrimoniale,matɾimonjal
matroanə,matrɔn,matrona,matɾona
mausoleu,mozɔle,mausoleo,mausoleo
maksilar,maksijɛr,mast͡ʃelːare,maksilaɾ
maksim,maksim,masːimo,maksimo
maksimə,maksim,masːimo,maksimo
meato,meatɔ,meato,meato
mekanik,maʃin,mekaniko,mekaniko
mekoniu,mekɔnjɥə̃,mekonio,mekonjo
mediastin,medjastɛ̃,mediastino,medjastino
mediat͡sie,medjatjɔ̃,mediasione,medjasion
mediator,medjatœr,mediatore,medjadoɾ
medikal,medikal,mediko,mediko
medikat͡sie,medikatjɔ̃,medikasione,medikasion
medikat͡siune,medikatjɔ̃,medikasione,medikasion
medit͡ʃinə,medɛzin,medit͡ʃina,medisina
mediokritate,medjɔkrite,mediokrita,medjokɾidad
mediokru,medjɔkr,mediokre,medjokɾe
medita,medite,meditare,meditaɾ
meditat͡sie,meditatjɔ̃,meditasione,meditasion
medulo,medylɔ,midolːo,medula
meŭ,mil,miʎo,mixo
mei,mil,miʎo,mixo
melankolie,melankɔlj,melankolia,melankolja
membrə,mâbr,membro,mjembɾo
membranə,mâbran,membrana,membɾana
memorabil,memɔrabl,memorabile,memoɾable
memorandum,memɔrandɥə̃,memorandum,memoɾando
memorie,imemɔrjal,memoria,memoɾja
memorial,memɔrjal,memoriale,memoɾjal
menstrual,mâstrɥɛl,mestruale,menstɾwal
mental,mɛntal,mentale,mental
menuet,mənɥɛ,menuetːo,minwe
mert͡ʃenar,mɛrsɛnɛr,mert͡ʃenario,meɾsenaɾjo
meridian,meridjâ,meridiana,meɾidjano
merlə,mɛrl,merla,miɾla
mesteka,mɑʃe,mastikare,masɡaɾ
metaforə,metafɔr,metafora,metafoɾa
metalik,metalik,metalːiko,metaliko
metisa,metj,mestisio,mestis
metod,metɔ,metodo,metodo
metonimie,metɔnimj,metonimia,metonimja
metropolitan,metrɔpɔlitɛ̃,metropolitano,metɾopolitano
miere,mjəl,mele,mel
mieriu,mjəl,mele,mel
miɡrat͡siune,miɡratjɔ̃,miɡrasione,miɡɾasion
milenar,mijenɛr,milːenario,milenaɾjo
militar,militɛr,militare,militaɾ
milit͡sie,miliz,milisia,milisia
mim,mim,mimo,mimo
minə,min,mina,mina
mint͡ʃiunə,mɛnsɔnʒ,mensoɲa,mentiɾ
miniaturə,minjatyr,miniatura,minjatuɾa
minim,minim,minimo,minimo
ministru,ministr,ministro,ministɾo
miniu,minjɥə̃,minio,minjo
minor,minœr,minore,menoɾ
mintə,mɛnt,menta,mjenta
minte,mɛnt,mend͡ʒe,mjenta
minuskul,minyskyl,minuʃolo,minuskulo
mira,mire,mirare,admiɾaɾse
mist͡ʃelaneu,mizɛlane,mist͡ʃelːanea,misselanea
misiune,misjɔ̃,misːione,misjon
mister,mistɛr,mistero,misteɾjo
mitolod͡ʒie,mitɔlɔɡj,mitolod͡ʒa,mitoloxia
mizerie,mizɛr,miseria,miseɾja
moale,mɔl,molːe,mweʝe
moarə,mœl,mola,moɾiɾ
mort,mœtr,morio,mweɾto
moarte,mœtr,morio,mweɾte
mobil,mœbl,mobile,mobil
mobilitate,mɔbilite,mobilita,mobilidad
modə,mɔ,moda,moda
moderat͡sie,mɔderatjɔ̃,moderasione,modeɾasion
moderat͡siune,mɔderatjɔ̃,moderasione,modeɾasion
modern,mɔdɛrn,moderne,modeɾno
modest,mɔdɛst,modesto,modesto
modestie,mɔdɛstj,modestia,modestja
modul,mɔ,moda,modulo
modulat͡sie,mɔdylatjɔ̃,modulasione,modulasion
modulat͡siune,mɔdylatjɔ̃,modulasione,modulasion
molesta,mɔlɛste,molestare,molestaɾ
molibden,mɔlibdɛn,molibdeno,molibdeno
moment,mɔm,momento,momento
momentan,mɔmɛntane,momentaneo,momentaneo
monah,mwan,monako,monxe
monahal,mɔnakal,monakale,monakal
monarh,mɔnarʃist,monarka,monaɾka
monarhie,mɔnarʃj,monarkia,monaɾkja
monoklu,mɔnɔkl,monokolo,monokulo
monoɡamie,mɔnɔɡamj,monoɡamia,monoɡamja
monosilabə,mɔnɔsijab,monosilːabo,monosilabo
monstru,mɔ̃str,mostro,monstɾwo
monstruos,mɔ̃strɥœ,mostruoso,monstɾwoso
montan,mɔntaɲ,montaɲa,montaɲa
monument,mɔnym,monumento,monumento
monumental,mɔnymɛntal,monumentale,monumental
morbid,mɔrbi,morbido,moɾbido
mortal,mɔrtɛl,mortale,moɾtal
mortifikat͡siune,mɔrtjfikatjɔ̃,mortifikasione,moɾtifikasion
motor,mɔtœr,motore,motoɾ
muk,mɔʃ,mot͡ʃːo,moko
mut͡ʃi,myzi,mokːolo,moko
muiere,mɔjlje,moʎe,moxaɾ
mult,mult,molto,mut͡ʃo
multiform,myltjfɔrm,multiforme,multifoɾme
multiplika,myltjplje,moltiplikare,multiplikaɾ
multiplikator,myltjplikatœr,moltiplikatore,multiplikadoɾ
multiplit͡ʃitate,myltjplizite,molteplit͡ʃita,multiplisidad
multiplu,myltjpl,multiplo,multiple
munte,mɔn,monte,monte
mur,myr,moro,muɾi
murə,myl,mora,moɾa
murmura,myrmyr,mormorare,muɾmuɾaɾ
muʃki,mus,muskio,musɡo
muta,my,mutare,mudo
mutabil,mytabl,mutabile,mudable
mutabilitate,mytabilite,mutabilita,mutabilidad
mutat͡sie,mytatjɔ̃,mutasione,mutasion
mutila,mytjle,mutilare,mutilaɾ
mutism,mytjsm,mutizmo,mutismo
mutul,my,muto,mudo
muzeu,myze,museo,museo
muzikə,myzik,musika,musika
naiadə,naia,naiadi,naiade
nap,naf,napo,nabo
narə,narre,nare,naɾis
nara,narre,narːare,naraɾ
narator,narratœr,narːatore,naradoɾ
nard,nard,nardo,naɾdo
naʃte,rənɛsan,nast͡ʃere,naseɾ
nat͡sie,natjɔ̃,nasione,nasion
nativ,natjf,nativo,natibo
natural,natyrɛl,naturale,natuɾal
naturalitate,natyralite,naturalita,natuɾalidad
naufrad͡ʒiu,nofraʒ,naufrad͡ʒo,naufɾaxio
nausea,noze,nausea,nausea
nautik,notjk,nautiko,nautiko
naval,naval,navale,nabal
naviɡabil,naviɡabl,naviɡabile,nabeɡable
naviɡat͡sie,naviɡatjɔ̃,naviɡasione,nabeɡasion
naviɡat͡siune,naviɡatjɔ̃,naviɡasione,nabeɡasion
nea,nwaf,neve,njebe
neaɡrə,nwar,nero,neɡɾo
nebulos,nəbylœ,nebuloso,nebuloso
nebulozitate,nebylɔzite,nebulosita,nebulosidad
net͡ʃesar,nezɛsɛr,net͡ʃesːario,nesesaɾjo
net͡ʃesitate,nezɛsite,net͡ʃesːita,nesesidad
nefritik,nefretjk,nefritiko,nefɾitiko
neɡa,nəɡațj,neo,beruɡeɾa
neɡat͡sie,nəɡatjɔ̃,neɡasione,neɡasion
neɡativ,nəɡatjf,neɡativo,neɡatibo
neɡot͡ʃia,neɡɔkje,neɡosiare,neɡosiaɾ
neɡot͡ʃiator,neɡɔkjatœr,neɡosiatore,neɡosiadoɾ
nepoatə,nəvœ,nievo,nebod
neted,nə,netːo,neto
neutro,nœtrɔ,neutro,neutɾo
nit͡ʃi,nɛzyn,nesːuno,ni
nihilism,niilism,nikilizmo,niʝlismo
nisetru,ɛstyrʒəɔ̃,storione,estuɾjon
un,œ̃,uno,uno
nitro,nitrɔ,nitro,nitɾo
nitros,nitrœ,nitroso,nitɾoso
noapte,jɛr,notːe,not͡ʃe
noastrə,nɔtr,nostra,nwestɾo
nobil,anɔblir,nobile,noble
nobiliar,nɔbiljɛr,nobile,noble
nokturn,nɔktyrn,notːurno,noktuɾno
nod,noey,nodo,nudo
nomenklaturə,nɔmâklatyr,nomenklatura,nomenklatuɾa
nominal,nɔminal,nominale,nominal
nominativ,nɔminatjf,nominativo,nominatibo
nono,nɔna,nona,nono
norə,nɥər,noura,nweɾa
normal,nɔrmal,normale,noɾmal
notar,nɔtɛr,notaio,notaɾjo
notat͡sie,natatjɔ̃,notasione,notasion
notat͡siune,nɔtatjɔ̃,notasione,notasion
notifika,nɔtjfje,notifikare,notifikaɾ
not͡siune,nɔtjɔ̃,nosione,nosion
noto,nɔ,nota,noto
noutate,nuvɛl,novita,nobedad
nu,nɔ̃,no,no
nubil,nybil,nubile,nubil
nuk,nwa,not͡ʃe,nwes
nukleol,nykleɔl,nukleolo,nukleolo
nukleŭ,nykley,nukleo,nukleo
nud,nydism,nudo,desnudo
nul,nyl,nulːo,nulo
nuli,nyl,nulːo,nulo
nume,nɔ̃,nome,nombɾe
numeral,nymɛral,numerale,numeɾal
nupt͡sial,nyptjal,nusiale,nupsial
nutat͡sie,nytatjɔ̃,nutasione,nutasion
o,il,el,uno
oameni,ɔm,ome,ombɾe
oarə,œr,ora,oɾa
oaste,ɔst,oste,weste
oazə,ɔazi,oasi,oasis
obedient͡sə,ɔbedjɛn,obːediensa,obedjensia
obelisk,ɔbelisk,obeliʃo,obelisko
obez,ɔbɛz,obeso,obeso
obezitate,ɔbezite,obesita,obesidad
oblik,ɔblik,oblikuo,oblikwo
oblit͡ʃitate,ɔblizite,oblikuita,oblikwidad
obliɡatoriu,ɔbliɡatwar,obːliɡatorio,obliɡatoɾjo
oblonɡ,ɔblɔŋ,oblunɡo,oblonɡo
obst͡ʃen,ɔbsɛn,ost͡ʃeno,obsseno
obst͡ʃenitate,ɔbsenite,ost͡ʃenita,obssenidad
obskuritate,ɔbskyrite,oʃurita,oskuɾidad
observabil,ɔbsɛrvabl,osːervabile,obseɾbable
observat͡sie,ɔbsɛrvatjɔ̃,osːervasione,obseɾbasion
observat͡siune,ɔbsɛrvatjɔ̃,osːervasione,obseɾbasion
observator,ɔbsɛrvatœr,osːervatore,obseɾbadoɾ
obsesie,ɔbsɛsjɔ̃,osːesːione,obsesjon
obsidian,ɔbsidjan,osːidiana,obsidjana
obstakol,ɔbstakl,obstakolo,obstakulo
obstrukt͡sie,ɔbstryktjɔ̃,ostrusione,obstɾuksion
obtura,ɔbtyre,otːurare,obtuɾaɾ
obturat͡sie,ɔbtyratjɔ̃,otːurasione,obtuɾasion
ot͡ʃean,ɔzeâ,ot͡ʃeano,oseano
oki,oej,okːiale,oxo
okru,ɔkr,okra,okɾe
oktant,ɔktan,otːante,oktante
oktod͡ʒenar,ɔktɔʒenɛr,otːuad͡ʒenario,oktoxenaɾjo
okult,ɔkkylt,okːulto,okulto
okultat͡sie,ɔkkyltatjɔ̃,okːultasione,okultasion
okupa,ɔkkype,okːupare,okupaɾ
okupat͡sie,ɔkkypatjɔ̃,okːupasione,okupasion
odios,ɛnyí,odioso,odjoso
odorifer,ɔdɔriferan,odorifero,odoɾifeɾo
oleinə,ɔlein,oleina,oleina
oliv,ɔliv,olivo,oliba
omisiune,ɔmisjɔ̃,omisːione,omisjon
omite,ɔmɛtr,ometːere,omitiɾ
omnipotent,ɔmnipɔ,omnipotente,omnipotente
oneros,ɔnerœ,oneroso,oneɾoso
onest,ɔnɛ,onesto,onesto
onora,ɔnɔre,onorare,onɾaɾ
opak,ɔpak,opako,opako
opat͡ʃitate,ɔpazite,opat͡ʃita,opasidad
opal,ɔpal,opalo,opalo
operə,ɔpɛra,opera,opeɾa
operat,ɔpere,operare,opeɾado
operat͡sie,ɔperatjɔ̃,operasione,opeɾasion
operat͡siune,ɔperatjɔ̃,operasione,opeɾasion
operatoare,ɔperatœr,operatore,opeɾadoɾ
operkul,ɔpɛrkyl,operkolo,opeɾkulo
opinare,ɔpine,opinare,opinaɾe
opinie,ɔpinjɔ̃,opinione,opinjon
opiu,ɔpjɥə̃,opːio,opjo
oportun,ɔpɔrtœ̃,opːortuno,opoɾtuno
opozit͡sie,ɔpɔzitjɔ̃,opːosisione,oposision
opresiune,ɔprɛsjɔ̃,opːresːione,opɾesjon
oprima,ɔprime,opːrimere,opɾimiɾ
opt,ɥi,otːo,ot͡ʃo
optare,ɔpte,optare,optaɾ
optativ,ɔptatjf,otːativo,optatibo
optim,ɔptjm,otːimo,optimo
opt͡siune,ɔptjɔ̃,opsione,opsion
orə,œr,ora,oɾa
orakol,ɔrakl,orakolo,oɾakulo
oral,ɔral,orale,oɾal
oratoriu,ɔratwar,oratorio,oɾatoɾja
orbikular,ɔrbikylɛr,orbikolare,oɾbikulaɾ
orbita,ɔrbi,orbita,oɾbita
orbitə,ɔrbi,orbita,oɾbita
ordin,ɔrdinal,ordine,oɾden
ordinal,ɔrdinal,ordinale,oɾdinal
orez,riz,riso,aros
orfan,ɔrfɛn,orfano,weɾfano
orɡə,ɔrɡɥ,orɡano,oɾɡano
orɡan,anɔrɡanik,orɡano,oɾɡano
orɡanik,ɔrɡanik,orɡaniko,oɾɡaniko
ord͡ʒie,ɔrɡj,ord͡ʒa,oɾxia
oribil,ɔrribl,orːibile,orible
orid͡ʒinal,ɔriʒinal,orid͡ʒinale,oɾixinal
ornament,ɔrnɛm,ornamento,oɾnamento
oroare,ɔrrœr,orːore,oroɾ
orolod͡ʒiu,ɔrlɔʒ,orolod͡ʒo,ɾelox
ortodoksie,ɔrtɔdɔksj,ortodosːia,oɾtodoksja
ortoɡrafie,ɔrtɔɡrafj,ortoɡrafia,oɾtoɡɾafja
os,œ,osːo,weso
osana,ɔzana,osanːa,osanna
